accession,collection_date,country,isolate,isolation_source,host,note,submitted,reference_title,reference_journal,pubmed
PP372686.1,21-May-2021,China,SH-ZSH01,,Homo sapiens,subtype: 2a; genotype: 2,19-FEB-2024,Hepatitis c virus infection and drug resistance,,
PP101888.1,27-Apr-2017,Cambodia,TF23A,plasma,Homo sapiens,subtype: 6q,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101889.1,25-Oct-2017,Cambodia,TF23B,plasma,Homo sapiens,subtype: 6q,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101890.1,26-Oct-2016,Cambodia,TF11A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101891.1,28-Jul-2017,Cambodia,TF11B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101892.1,19-Oct-2016,Cambodia,TF14A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101893.1,28-Jul-2017,Cambodia,TF14B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101894.1,08-Feb-2017,Cambodia,TF15A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101895.1,27-Jul-2017,Cambodia,TF15B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101896.1,07-Jun-2017,Cambodia,TF16A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101897.1,20-Dec-2017,Cambodia,TF16B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101898.1,20-Jun-2017,Cambodia,TF17A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101899.1,02-Jan-2018,Cambodia,TF17B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101900.1,14-Dec-2017,Cambodia,TF24B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101901.1,21-Jun-2017,Cambodia,TF29A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101902.1,04-Jan-2018,Cambodia,TF29B,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101903.1,29-Jun-2017,Cambodia,TF32A,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101904.1,08-Dec-2016,Cambodia,TF27A,plasma,Homo sapiens,subtype: 6s,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101905.1,12-Jun-2017,Cambodia,TF03B,plasma,Homo sapiens,subtype: 6xc,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101906.1,03-May-2017,Cambodia,TF05A,plasma,Homo sapiens,subtype: 6xf,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101907.1,17-Nov-2017,Cambodia,TF05B,plasma,Homo sapiens,subtype: 6xf,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101908.1,04-May-2017,Cambodia,TF18A,plasma,Homo sapiens,subtype: 6?,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101909.1,26-Jan-2018,Cambodia,TF18B,plasma,Homo sapiens,subtype: 6?,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101910.1,23-May-2017,Cambodia,TF04A,plasma,Homo sapiens,subtype: 1a,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101911.1,07-Dec-2017,Cambodia,TF04B,plasma,Homo sapiens,subtype: 1a,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101912.1,26-Jul-2017,Cambodia,CTRL101,plasma,Homo sapiens,subtype: 6p,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101913.1,02-Aug-2017,Cambodia,CTRL102,plasma,Homo sapiens,subtype: 6p,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101914.1,02-Aug-2017,Cambodia,CTRL103,plasma,Homo sapiens,subtype: 6p,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101915.1,02-Aug-2017,Cambodia,CTRL104,plasma,Homo sapiens,subtype: 6r,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101916.1,03-Aug-2017,Cambodia,CTRL106,plasma,Homo sapiens,subtype: 6?,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
PP101917.1,03-Aug-2017,Cambodia,CTRL107,plasma,Homo sapiens,subtype: 6q,08-JAN-2024,Genomic variations associated with drug resistance in HCV genotype 6 infected patients failing DAA-based therapy,,
