Model,seq_mean,seq_sd,pat_mean,pat_sd,delta_mean,sd_ratio
Voting Classifier,0.882,0.044,0.851,0.075,-0.031,1.69
Stacking Classifier,0.882,0.042,0.858,0.061,-0.024,1.46
Random Forest,0.869,0.04,0.836,0.085,-0.033,2.13
Neural Network,0.862,0.057,0.768,0.079,-0.093,1.38
XGBoost,0.861,0.062,0.819,0.112,-0.042,1.81
Logistic Regression,0.858,0.042,0.834,0.058,-0.024,1.38
Elastic Net,0.855,0.025,0.86,0.054,0.005,2.2
GBM,0.851,0.029,0.847,0.097,-0.004,3.35
SVM,0.838,0.049,0.674,0.305,-0.164,6.26
FDA,0.822,0.047,0.824,0.092,0.001,1.97
KNN,0.816,0.057,0.835,0.066,0.019,1.16
Decision Tree,0.781,0.083,0.751,0.084,-0.03,1.01
Naive Bayesian,0.767,0.078,0.77,0.076,0.004,0.97
